date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:13:38	2812/2812	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2016%20May%202018%2022:40:32%20GMT	http://jeanarbo.com/js/app.js	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/js/app.js	(from http://jeanarbo.com/)
15:13:38	3272/3272	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2031%20May%202018%2023:53:08%20GMT	http://jeanarbo.com/js/map.js	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/js/map.js	(from http://jeanarbo.com/)
15:13:39	11730/11730	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2016%20May%202018%2022:40:32%20GMT	http://jeanarbo.com/js/validator.js	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/js/validator.js	(from http://jeanarbo.com/)
15:13:39	6916/6916	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2021%20May%202018%2023:37:46%20GMT	http://jeanarbo.com/js/scripts.js	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/js/scripts.js	(from http://jeanarbo.com/)
15:13:40	144877/144877	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20May%202018%2022:40:30%20GMT	http://jeanarbo.com/css/plugins/bootstrap.min.css	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/css/plugins/bootstrap.min.css	(from http://jeanarbo.com/css/plugins.css)
15:13:41	16952/16952	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20May%202018%2022:40:30%20GMT	http://jeanarbo.com/css/plugins/animate.min.css	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/css/plugins/animate.min.css	(from http://jeanarbo.com/css/plugins.css)
15:13:41	7082/7082	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20May%202018%2022:40:30%20GMT	http://jeanarbo.com/css/plugins/et-line.css	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/css/plugins/et-line.css	(from http://jeanarbo.com/css/plugins.css)
15:13:42	108722/108722	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20May%202018%2022:40:32%20GMT	http://jeanarbo.com/css/plugins/icofont.css	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/css/plugins/icofont.css	(from http://jeanarbo.com/css/plugins.css)
15:13:42	34734/34734	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20May%202018%2022:40:30%20GMT	http://jeanarbo.com/css/plugins/fontawesome-all.min.css	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/css/plugins/fontawesome-all.min.css	(from http://jeanarbo.com/css/plugins.css)
15:13:42	3174/3174	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20May%202018%2022:40:32%20GMT	http://jeanarbo.com/css/plugins/YouTubePopUp.css	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/css/plugins/YouTubePopUp.css	(from http://jeanarbo.com/css/plugins.css)
